Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Null,40,27,126,0,3,0,158,229,54,40,67,121,174,81,104,117,83,144,139,94,4
Alameda,1057,1016,1060,961,910,867,952,867,771,727,742,749,711,756,784,759,761,747,721,743,772
Alpine,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Amador,12,13,13,10,6,3,4,7,6,6,10,9,13,10,9,15,14,17,11,8,8
APO/FPO/CPO USA,10,10,7,6,5,3,6,5,5,4,1,1,4,5,5,4,4,3,0,0,0
Butte,67,76,68,44,43,37,46,58,55,59,62,74,80,93,88,100,102,95,96,96,83
Calaveras,19,18,16,11,13,12,11,16,14,14,16,18,22,23,27,30,31,36,28,20,19
Colusa,5,4,4,3,1,1,4,6,9,10,7,6,5,2,5,5,9,10,10,5,6
Contra Costa,933,907,933,777,754,694,795,762,745,771,824,897,847,869,891,855,850,870,860,904,881
Del Norte,9,5,4,3,2,3,3,4,4,3,4,7,8,9,11,10,13,13,8,7,2
El Dorado,112,90,89,81,86,91,102,105,111,115,126,128,130,130,133,130,125,107,100,98,101
Fresno,268,284,291,238,228,229,251,242,237,220,210,218,223,244,262,286,305,294,275,255,252
Glenn,8,7,6,3,4,5,3,3,3,4,4,3,2,3,1,3,3,4,2,2,2
Humboldt,42,42,39,41,32,32,32,32,34,38,45,54,56,62,62,61,68,68,75,72,66
Imperial,59,65,66,52,44,47,51,40,34,32,45,40,31,34,33,37,40,38,38,31,29
Inyo,5,6,5,4,5,9,10,7,6,4,2,5,8,12,15,16,13,9,8,9,6
Kern,372,362,338,276,256,259,295,308,322,327,366,381,355,365,334,341,325,312,291,293,308
Kings,47,56,50,39,43,36,47,46,46,45,44,41,40,47,45,49,48,44,39,41,36
Lake,13,12,12,6,7,7,7,5,6,7,6,8,10,11,13,16,17,15,16,17,16
Lassen,5,6,5,6,6,6,10,9,8,2,3,4,4,3,3,8,8,8,9,8,10
Los Angeles,5670,5685,5965,5191,5211,5242,5928,5873,6012,6053,6073,6118,5760,5485,5386,5316,5357,5244,5279,5009,4914
Madera,31,35,39,30,26,31,33,34,30,32,39,40,36,41,38,35,46,47,47,44,30
Marin,293,268,245,211,193,179,212,198,211,230,258,304,303,316,302,278,298,311,323,377,369
Mariposa,5,6,3,3,3,2,2,1,0,3,5,6,6,6,4,4,5,7,7,9,7
Mendocino,37,33,26,27,23,18,25,31,41,46,40,41,45,46,45,47,46,51,55,49,45
Merced,107,97,100,87,80,67,69,75,83,91,89,79,64,68,74,81,85,80,82,61,52
Modoc,2,1,1,1,0,0,0,1,1,2,2,1,1,2,1,1,2,1,2,2,2
Mono,4,4,4,2,3,3,5,6,7,8,12,12,11,11,11,9,10,12,10,10,13
Monterey,215,209,209,165,181,170,186,205,216,211,214,221,224,234,234,255,258,250,281,277,266
Napa,73,76,71,56,59,55,70,75,72,62,58,56,62,76,72,77,87,86,81,81,88
Nevada,32,29,30,36,35,28,35,46,40,57,56,56,52,64,55,57,67,66,61,66,63
Orange,2065,1989,2026,1814,1786,1777,1989,1914,1910,1887,1971,2016,1904,1764,1680,1663,1660,1702,1719,1696,1686
Placer,198,201,189,172,188,161,193,191,198,208,213,227,214,231,235,218,227,197,186,168,156
Plumas,1,2,2,1,0,0,0,2,3,2,3,3,7,9,8,12,6,9,9,12,17
Riverside,819,831,815,747,727,718,765,750,738,739,735,745,699,661,638,558,545,476,437,413,402
Sacramento,546,535,535,472,465,459,486,467,467,480,500,500,495,477,470,452,449,406,400,403,410
San Benito,28,29,34,26,21,22,22,23,18,17,19,19,18,18,21,18,21,25,22,24,22
San Bernardino,800,817,765,654,646,619,682,641,628,638,635,643,629,647,608,558,492,466,462,439,440
San Diego,1612,1636,1686,1538,1553,1515,1675,1702,1729,1769,1779,1804,1708,1673,1625,1597,1569,1613,1610,1612,1564
San Fransisco,348,369,403,369,355,25,391,345,376,313,291,293,259,258,272,255,253,269,284,283,317
San Joaquin,277,255,241,190,196,186,198,178,173,195,208,229,210,188,192,184,204,193,203,185,177
San Luis Obispo,195,181,179,164,158,153,189,201,225,252,284,310,311,310,266,248,258,253,247,248,254
San Mateo,617,581,572,466,470,447,514,482,469,470,509,549,542,546,549,540,542,525,510,500,504
Santa Barbara,964,1011,1056,775,730,633,897,1000,1155,1222,1343,1513,1561,1695,1716,1740,1752,1800,1845,1849,1889
Santa Clara,1878,1791,1691,1449,1376,1313,1456,1335,1261,1201,1220,1227,1214,1233,1230,1213,1172,1180,1240,1235,1193
Santa Cruz,178,213,226,188,174,161,187,180,164,201,226,238,246,234,256,266,267,258,231,203,182
Shasta,51,45,48,39,45,44,59,53,54,69,65,69,67,57,60,63,59,62,55,56,57
Sierra,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,3,4,2,1,1
Siskiyou,7,12,13,15,14,10,8,10,9,10,10,7,5,9,12,19,19,21,19,16,13
Solano,151,164,174,137,117,116,123,138,137,139,156,157,140,153,169,164,165,152,141,126,117
Sonoma,273,260,236,190,194,194,228,239,246,246,268,277,292,287,295,338,365,370,402,389,366
Stanislaus,217,210,199,183,181,173,198,189,174,163,162,175,171,169,168,166,154,138,147,154,179
Slutter,33,37,42,36,32,29,32,28,25,23,24,24,22,25,28,30,28,19,19,16,18
Tehama,12,10,10,8,9,8,7,8,5,5,6,12,15,18,21,17,16,13,14,10,10
Trinity,4,2,4,4,1,2,3,3,3,3,3,3,4,4,6,6,4,4,4,1,2
Tulare,192,194,188,156,166,151,150,161,151,149,166,179,184,179,174,176,165,161,166,165,140
Tuolumne,8,9,10,12,12,16,19,18,13,15,14,11,13,15,16,19,21,23,26,21,16
Ventura,1046,1048,1064,829,806,750,955,1004,1043,1144,1250,1296,1201,1233,1262,1293,1301,1302,1322,1371,1323
Yolo,114,108,117,112,121,112,143,126,118,124,119,113,118,113,122,128,141,127,128,116,106
Yuba,19,16,11,10,10,12,15,13,14,14,11,11,14,13,12,14,10,12,7,4,3